transaction_items
"butter naan,chak hao kheer,plain rice"
"chak hao kheer,chicken tikka,jeera rice,raita"
"chak hao kheer,chicken tikka,plain rice"
"black rice,chak hao kheer,paneer butter masala,samosa"
"chak hao kheer,lassi,roti"
"black rice,chak hao kheer,lassi"
"chak hao kheer,jeera rice,roti"
"chak hao kheer,jeera rice,plain rice"
"chak hao kheer,gulab jamun,lassi,raita"
"chak hao kheer,dal makhani,jeera rice"
"biryani,chak hao kheer,lassi,raita"
"black rice,chak hao kheer,chole,jeera rice"
"chak hao kheer,lassi,roti"
"chak hao kheer,chole,dal makhani,raita"
"butter chicken,chak hao kheer,lassi"
"chak hao kheer,plain rice,raita"
"butter naan,chak hao kheer,paneer butter masala"
"chak hao kheer,paneer butter masala,roti"
"biryani,chak hao kheer,chole,plain rice"
"butter naan,chak hao kheer,lassi"
"black rice,butter chicken,chak hao kheer"
"butter naan,chak hao kheer,plain rice,roti"
"chak hao kheer,chole,lassi"
"black rice,chak hao kheer,roti"
"chak hao kheer,chicken tikka,roti"
"biryani,chak hao kheer,raita"
"butter naan,chak hao kheer,chicken tikka"
"chak hao kheer,gulab jamun,jeera rice"
"chak hao kheer,dal makhani,paneer butter masala,raita"
"butter naan,chak hao kheer,chole"
"butter chicken,chak hao kheer,raita,samosa"
"butter naan,chak hao kheer,roti"
"chak hao kheer,roti"
"chak hao kheer,jeera rice"
"chak hao kheer,jeera rice"
"chak hao kheer,chicken tikka,lassi"
"chak hao kheer,chicken tikka,gulab jamun,jeera rice"
"biryani,butter chicken,chak hao kheer,lassi"
"chak hao kheer,jalebi,roti"
"chak hao kheer,gulab jamun,roti"
"biryani,chak hao kheer,roti,samosa"
"chak hao kheer,paneer butter masala,plain rice"
"biryani,chak hao kheer,jalebi,roti"
"chak hao kheer,lassi,plain rice"
"black rice,chak hao kheer,jalebi"
"chak hao kheer,gulab jamun,roti"
"chak hao kheer,raita,samosa"
"chak hao kheer,chicken tikka,jeera rice,paneer butter masala"
"biryani,chak hao kheer,raita"
"black rice,chak hao kheer,paneer butter masala"
"chak hao kheer,jalebi,jeera rice"
"butter naan,chak hao kheer,chole,dal makhani"
"chak hao kheer,paneer butter masala,raita"
"butter chicken,chak hao kheer,paneer butter masala,roti"
"chak hao kheer,dal makhani,lassi"
"black rice,chak hao kheer,paneer butter masala"
"butter naan,chak hao kheer,gulab jamun"
"chak hao kheer,roti,samosa"
"butter naan,chak hao kheer,chole"
"black rice,chak hao kheer,samosa"
"butter naan,chak hao kheer,jalebi"
"butter naan,chak hao kheer,chicken tikka"
"black rice,butter chicken,chak hao kheer"
"butter naan,chak hao kheer,jeera rice"
"chak hao kheer,chicken tikka,jeera rice,lassi"
"chak hao kheer,gulab jamun,roti"
"chak hao kheer,chole,roti"
"chak hao kheer,gulab jamun,raita"
"butter naan,chak hao kheer,lassi"
"biryani,chak hao kheer,raita"
"chak hao kheer,lassi,raita"
"chak hao kheer,chicken tikka,gulab jamun,raita"
"biryani,butter chicken,chak hao kheer,jeera rice"
"chak hao kheer,dal makhani,raita"
"chak hao kheer,jalebi,lassi"
"butter naan,chak hao kheer,chole,gulab jamun"
"butter naan,chak hao kheer,dal makhani,gulab jamun"
"butter naan,chak hao kheer,jeera rice,raita"
"chak hao kheer,chicken tikka,raita,roti"
"black rice,chak hao kheer,jalebi"
"chak hao kheer,plain rice,raita"
"chak hao kheer,raita"
"butter chicken,chak hao kheer,dal makhani,plain rice"
"chak hao kheer,lassi,paneer butter masala,raita"
"chak hao kheer,lassi,roti"
"chak hao kheer,chole,lassi,raita"
"biryani,butter naan,chak hao kheer"
"chak hao kheer,plain rice,roti"
"black rice,chak hao kheer,chicken tikka,dal makhani"
"butter naan,chak hao kheer,plain rice"
"biryani,black rice,chak hao kheer"
"chak hao kheer,paneer butter masala,plain rice"
"chak hao kheer,gulab jamun,plain rice"
"butter naan,chak hao kheer,gulab jamun,samosa"
"chak hao kheer,gulab jamun,plain rice"
"chak hao kheer,plain rice,raita,samosa"
"chak hao kheer,jeera rice"
"chak hao kheer,plain rice,raita"
"chak hao kheer,plain rice,roti,samosa"
"chak hao kheer,chicken tikka,lassi"
"chak hao kheer,roti"
"chak hao kheer,paneer butter masala,plain rice"
"chak hao kheer,chole,jeera rice,plain rice"
"butter chicken,chak hao kheer,jalebi,lassi"
"black rice,chak hao kheer,lassi"
"black rice,chak hao kheer,gulab jamun"
"chak hao kheer,chicken tikka,jeera rice"
"black rice,chak hao kheer,jalebi"
"chak hao kheer,jeera rice,lassi,roti"
"butter chicken,chak hao kheer,lassi"
"chak hao kheer,chicken tikka,plain rice"
"butter naan,chak hao kheer,dal makhani,lassi"
"chak hao kheer,dal makhani,raita"
"butter chicken,chak hao kheer,jeera rice"
"butter naan,chak hao kheer,paneer butter masala,plain rice"
"chak hao kheer,jeera rice,lassi"
"chak hao kheer,jeera rice,lassi"
"butter naan,chak hao kheer,gulab jamun,raita"
"chak hao kheer,chole,jeera rice"
"biryani,chak hao kheer,roti"
"chak hao kheer,jeera rice,raita"
"chak hao kheer,jalebi,raita"
"chak hao kheer,chole,roti"
"butter naan,chak hao kheer,dal makhani,raita"
"chak hao kheer,jeera rice,samosa"
"chak hao kheer,jeera rice,plain rice"
"black rice,chak hao kheer,dal makhani,jalebi"
"chak hao kheer,gulab jamun,roti"
"black rice,chak hao kheer,lassi"
"chak hao kheer,chicken tikka,plain rice"
"chak hao kheer,paneer butter masala,roti"
"biryani,chak hao kheer,jeera rice,lassi"
"butter chicken,chak hao kheer,dal makhani,lassi"
"black rice,chak hao kheer,roti"
"biryani,chak hao kheer,roti"
"chak hao kheer,jeera rice,roti"
"black rice,butter naan,chak hao kheer,lassi"
"chak hao kheer,plain rice,roti"
"butter chicken,chak hao kheer,plain rice"
"chak hao kheer,chole,roti"
"butter naan,chak hao kheer,dal makhani"
"chak hao kheer,gulab jamun,plain rice"
"black rice,chak hao kheer,plain rice"
"chak hao kheer,chole,jeera rice"
"black rice,chak hao kheer,samosa"
"biryani,chak hao kheer,gulab jamun,lassi"
"chak hao kheer,paneer butter masala,roti"
"butter chicken,chak hao kheer,jeera rice,plain rice"
"chak hao kheer,dal makhani,jalebi,lassi"
"chak hao kheer,jalebi,raita,roti"
"chak hao kheer,jeera rice,lassi"
"chak hao kheer,raita,roti"
"butter naan,chak hao kheer,lassi"
"chak hao kheer,jeera rice,roti"
"chak hao kheer,chole,lassi,samosa"
"chak hao kheer,chicken tikka,lassi"
"chak hao kheer,paneer butter masala,roti"
"butter naan,chak hao kheer,jalebi"
"black rice,chak hao kheer,dal makhani"
"butter naan,chak hao kheer,paneer butter masala,raita"
"chak hao kheer,raita,roti"
"butter naan,chak hao kheer,chole,roti"
"black rice,butter naan,chak hao kheer,chicken tikka"
"black rice,butter chicken,chak hao kheer"
"butter naan,chak hao kheer,raita"
"black rice,chak hao kheer,raita,roti"
"chak hao kheer,lassi"
"black rice,chak hao kheer,jalebi"
"black rice,chak hao kheer,jeera rice,lassi"
"chak hao kheer,chole,plain rice"
"chak hao kheer,roti,samosa"
"chak hao kheer,gulab jamun,roti"
"chak hao kheer,gulab jamun,plain rice"
"black rice,chak hao kheer,jalebi"
"chak hao kheer,gulab jamun,plain rice,samosa"
"chak hao kheer,lassi,paneer butter masala,plain rice"
"chak hao kheer,chole,jeera rice,roti"
"butter chicken,chak hao kheer,lassi"
"chak hao kheer,jalebi,lassi"
"chak hao kheer,chole,plain rice"
"butter naan,chak hao kheer,lassi"
"chak hao kheer,lassi"
"chak hao kheer,lassi,raita"
"chak hao kheer,paneer butter masala,plain rice"
"chak hao kheer,lassi,samosa"
"chak hao kheer,gulab jamun,lassi"
"chak hao kheer,dal makhani,jeera rice"
"black rice,chak hao kheer,raita"
"biryani,butter naan,chak hao kheer"
"chak hao kheer,plain rice,raita"
"butter naan,chak hao kheer,jalebi,plain rice"
"butter naan,chak hao kheer,paneer butter masala,roti"
"butter naan,chak hao kheer,samosa"
"chak hao kheer,jeera rice,plain rice"
"chak hao kheer,lassi,samosa"
"chak hao kheer,raita"
"black rice,chak hao kheer,lassi,roti"
"chak hao kheer,plain rice"
"chak hao kheer,jeera rice,lassi"
"biryani,chak hao kheer,lassi"
"black rice,butter chicken,chak hao kheer,plain rice"
"chak hao kheer,jalebi,jeera rice"
"chak hao kheer,chicken tikka,jeera rice"
"butter naan,chak hao kheer,samosa"
"chak hao kheer,plain rice,raita"
"butter naan,chak hao kheer,lassi"
"chak hao kheer,chicken tikka,lassi,roti"
"black rice,chak hao kheer,dal makhani"
"black rice,chak hao kheer,samosa"
"chak hao kheer,jeera rice,lassi"
"chak hao kheer,chole,lassi"
"chak hao kheer,jeera rice,raita"
"butter chicken,chak hao kheer,raita,samosa"
"butter naan,chak hao kheer,roti"
"chak hao kheer,chole,lassi"
"butter naan,chak hao kheer,chole,dal makhani"
"chak hao kheer,jalebi,lassi"
"chak hao kheer,plain rice,roti"
"biryani,black rice,chak hao kheer,raita"
"chak hao kheer,jalebi,jeera rice"
"chak hao kheer,jeera rice"
"chak hao kheer,paneer butter masala,raita"
"butter naan,chak hao kheer,chole,dal makhani"
"butter naan,chak hao kheer,roti"
"chak hao kheer,dal makhani,lassi,plain rice"
"black rice,chak hao kheer,roti"
"biryani,chak hao kheer,raita"
"chak hao kheer,chicken tikka,jeera rice"
"butter naan,chak hao kheer,paneer butter masala"
"chak hao kheer,gulab jamun,jeera rice,plain rice"
"chak hao kheer,jeera rice,samosa"
"butter naan,chak hao kheer,raita"
"biryani,chak hao kheer,raita"
"chak hao kheer,gulab jamun,lassi,roti"
"butter chicken,chak hao kheer,lassi"
"chak hao kheer,lassi,paneer butter masala"
"chak hao kheer,chicken tikka,jeera rice"
"chak hao kheer,jeera rice,plain rice"
"chak hao kheer,raita,samosa"
"chak hao kheer,chicken tikka,plain rice"
