transaction_items
"paneer butter masala,raita,roti"
"jalebi,plain rice,roti"
"chole,dal makhani,plain rice"
"chole,raita,roti"
"gulab jamun,paneer butter masala,rice"
"lassi,raita,samosa"
"jalebi,raita,roti"
"biryani,rice,samosa"
"butter chicken,butter naan,plain rice"
"chicken tikka,chole,jeera rice"
"gulab jamun,paneer butter masala,plain rice"
"biryani,butter naan,lassi"
"butter chicken,jeera rice,plain rice"
"butter chicken,raita,roti"
"butter chicken,chicken tikka,jeera rice"
"gulab jamun,paneer butter masala,raita"
"dal makhani,gulab jamun,plain rice"
"butter chicken,chicken tikka,jeera rice"
"butter chicken,butter naan,chole"
"chicken tikka,dal makhani,plain rice"
"chole,plain rice,raita,samosa"
"jalebi,plain rice,raita"
"chole,jalebi,paneer butter masala,rice"
"jalebi,lassi,raita,roti"
"dal makhani,lassi,samosa"
"butter naan,dal makhani,roti,samosa"
"butter chicken,jeera rice,plain rice"
"gulab jamun,plain rice,samosa"
"butter chicken,dal makhani,jalebi,plain rice"
"biryani,jalebi,jeera rice"
"biryani,paneer butter masala,plain rice,rice"
"butter chicken,lassi,plain rice"
"gulab jamun,paneer butter masala,plain rice,raita"
"biryani,chicken tikka,jeera rice,samosa"
"chole,jeera rice,plain rice"
"chole,rice,roti"
"chicken tikka,jeera rice,lassi,raita"
"chicken tikka,gulab jamun,lassi"
"butter naan,dal makhani,jeera rice"
"chole,jalebi,roti"
"chicken tikka,roti,samosa"
"biryani,gulab jamun,rice"
"biryani,butter chicken,butter naan"
"dal makhani,plain rice,roti"
"butter chicken,lassi,plain rice"
"butter naan,chicken tikka,dal makhani,jeera rice"
"chicken tikka,plain rice,raita,samosa"
"biryani,butter naan"
"dal makhani,rice,samosa"
"butter naan,chole,roti"
"gulab jamun,paneer butter masala,raita"
"butter chicken,lassi,roti"
"dal makhani,roti,samosa"
"dal makhani,rice,samosa"
"butter naan,chicken tikka,raita"
"butter naan,gulab jamun,samosa"
"butter chicken,gulab jamun,plain rice"
"gulab jamun,jalebi,jeera rice,raita"
"chole,paneer butter masala,roti"
"butter chicken,butter naan,dal makhani,jalebi"
"chicken tikka,chole,jalebi,raita"
"butter chicken,gulab jamun,roti"
"biryani,jalebi,lassi"
"biryani,lassi,samosa"
"butter chicken,jeera rice,raita"
"chicken tikka,dal makhani,jeera rice,paneer butter masala"
"jalebi,jeera rice,raita"
"chole,jeera rice,raita"
"biryani,butter naan,gulab jamun"
"butter chicken,chole,paneer butter masala,rice"
"chicken tikka,jeera rice"
"biryani,jalebi,rice"
"gulab jamun,lassi,rice"
"biryani,plain rice,samosa"
"chicken tikka,jeera rice,plain rice"
"butter chicken,gulab jamun,rice"
"butter naan,chole,samosa"
"biryani,jalebi,jeera rice,roti"
"chicken tikka,lassi,paneer butter masala,rice"
"gulab jamun,jeera rice,paneer butter masala"
"butter naan,chole,paneer butter masala"
"biryani,butter naan,chicken tikka"
"gulab jamun,rice,roti"
"chole,jalebi,jeera rice,raita"
"gulab jamun,jalebi,roti"
"biryani,dal makhani,plain rice"
"chicken tikka,dal makhani,plain rice"
"jeera rice,paneer butter masala"
"chicken tikka,gulab jamun,raita"
"chicken tikka,chole,roti"
"butter chicken,gulab jamun,rice"
"butter naan,jeera rice,paneer butter masala"
"butter naan,chole,paneer butter masala,samosa"
"chicken tikka,jeera rice,plain rice"
"biryani,lassi,rice"
"butter chicken,chole,gulab jamun,jeera rice"
