transaction_items
"galho,naan"
"butter naan,galho,roti"
"butter naan,gulab jamun,samosa"
"galho,plain rice"
"galho,papad"
"galho,paneer butter masala,papad"
"galho,raita,samosa"
"butter naan,galho,jeera rice"
"butter naan,galho,jeera rice"
"chole,lassi,papad"
"galho,paneer butter masala,rice"
"galho,gulab jamun,palak paneer"
"gulab jamun,plain rice,samosa"
"chicken tikka,chole,salad"
"galho,jeera rice,papad"
"galho,paneer butter masala,raita"
"galho,jeera rice,plain rice"
"galho,papad,samosa"
"gulab jamun,paneer butter masala,papad"
"galho,lassi,roti"
"galho,raita,salad"
"chicken tikka,galho,raita"
"galho,lassi,salad"
"galho,jeera rice,plain rice"
"biryani,dal makhani,raita"
"biryani,butter naan,palak paneer"
"galho,naan,palak paneer"
"chole,galho,lassi"
"lassi,palak paneer,roti"
"galho,gulab jamun,naan"
"butter chicken,butter naan,plain rice"
"galho,plain rice"
"galho,naan"
"dal makhani,galho,salad"
"butter chicken,palak paneer,roti"
"galho,raita,roti"
"galho,lassi,papad"
"galho,naan,papad"
"dal fry,dal makhani,lassi"
"galho,gulab jamun,rice"
"dal fry,papad,plain rice"
"chicken tikka,naan,salad"
"jeera rice,palak paneer,plain rice"
"butter chicken,gulab jamun,jeera rice"
"chicken tikka,naan,salad"
"dal fry,galho,gulab jamun"
"galho,plain rice,roti"
"galho,papad"
"butter naan,chole,plain rice"
"butter naan,dal makhani,galho"
"biryani,galho,lassi"
"galho,naan,salad"
"galho,gulab jamun,raita"
"chole,galho,roti"
"chole,lassi,papad"
"dal fry,plain rice"
"biryani,galho,raita"
"galho,palak paneer,papad"
"butter naan,galho"
"biryani,jeera rice,lassi"
"galho,lassi,paneer butter masala"
"galho,papad,samosa"
"butter naan,galho,raita"
"butter chicken,palak paneer,rice"
"biryani,lassi,plain rice"
"butter chicken,jeera rice,salad"
"butter naan,galho,roti"
"galho,papad,samosa"
"chicken tikka,gulab jamun,naan"
"biryani,butter chicken,plain rice"
"dal makhani,galho,naan"
"butter chicken,jeera rice,plain rice"
"chicken tikka,dal makhani,raita"
"butter chicken,galho,papad"
"galho,lassi,samosa"
"galho,papad,raita"
"biryani,butter naan,galho"
"biryani,galho,salad"
"jeera rice,lassi,palak paneer"
"butter chicken,galho,lassi"
"butter naan,galho,palak paneer"
"galho,lassi,plain rice"
"galho,papad,plain rice"
"galho,lassi,naan"
"galho,papad,plain rice"
"chicken tikka,paneer butter masala,raita"
"biryani,dal fry,raita"
"galho,jeera rice,palak paneer"
"chicken tikka,galho,papad"
"dal fry,dal makhani,papad"
"chicken tikka,dal fry,roti"
"galho,jeera rice,papad"
"galho,papad,salad"
"dal fry,naan,rice"
"butter chicken,jeera rice,lassi"
"galho,lassi,palak paneer"
"galho,rice,salad"
"chicken tikka,plain rice"
"biryani,galho,salad"
"butter chicken,chicken tikka,roti"
"chole,palak paneer,rice"
"galho,jeera rice,naan"
"butter naan,galho,naan"
"chole,salad"
"biryani,raita,rice"
"biryani,gulab jamun,samosa"
"butter naan,galho,gulab jamun"
"galho,naan"
"dal fry,galho,plain rice"
"galho,lassi,samosa"
"galho,papad,roti"
"dal fry,lassi,salad"
"chicken tikka,galho,raita"
"butter naan,chole,galho"
"dal makhani,paneer butter masala,raita"
"galho,gulab jamun,paneer butter masala"
"galho,gulab jamun,lassi"
"galho,naan,papad"
"chole,galho,rice"
"galho,roti,salad"
"biryani,rice,roti"
"galho,plain rice"
"chole,dal fry,naan"
"biryani,galho,raita"
"galho,naan,salad"
"galho,jeera rice,naan"
"dal makhani,galho,papad"
"chicken tikka,naan"
"galho,raita,roti"
"gulab jamun,jeera rice,palak paneer"
"galho,jeera rice,naan"
"galho,naan,salad"
"butter naan,galho,salad"
"galho,naan,rice"
"dal makhani,galho,jeera rice"
"chole,galho,naan"
"butter naan,dal fry,palak paneer"
"galho,raita"
"galho,plain rice,salad"
"galho,papad,salad"
"galho,gulab jamun,naan"
"dal fry,gulab jamun,papad"
"galho,raita,rice"
"jeera rice,palak paneer,paneer butter masala"
"butter naan,dal makhani,raita"
"butter chicken,galho,roti"
"biryani,butter naan,gulab jamun"
"galho,paneer butter masala,salad"
"galho,plain rice,salad"
"butter naan,chicken tikka,dal fry"
"lassi,papad,samosa"
"galho,papad,plain rice"
"butter naan,chole"
"galho,naan,raita"
"chicken tikka,galho,gulab jamun"
"dal makhani,galho,plain rice"
"galho,naan,salad"
"galho,paneer butter masala,salad"
"galho,rice,salad"
"butter chicken,raita,samosa"
"biryani,dal makhani,roti"
"galho,papad,samosa"
"galho,salad"
"biryani,chicken tikka,roti"
"butter naan,galho,palak paneer"
"galho,gulab jamun,rice"
"galho,lassi,roti"
"butter naan,dal makhani,galho"
"galho,jeera rice,raita"
"palak paneer,plain rice,roti"
"galho,lassi,samosa"
"butter chicken,chole,naan"
"galho,naan,samosa"
"chicken tikka,galho,jeera rice"
"dal fry,paneer butter masala,roti"
"galho,naan,palak paneer"
"dal fry,lassi"
"galho,jeera rice,papad"
"galho,jeera rice,naan"
"galho,naan,rice"
"butter chicken,butter naan,plain rice"
"dal fry,galho,salad"
"biryani,dal makhani,salad"
"butter chicken,galho,papad"
"galho,plain rice,roti"
"chicken tikka,gulab jamun,paneer butter masala"
"galho,gulab jamun,naan"
"dal fry,galho,lassi"
"butter chicken,galho,roti"
"galho,gulab jamun,samosa"
"galho,palak paneer,rice"
"dal fry,galho,jeera rice"
"butter naan,galho,naan"
"dal makhani,galho,roti"
"lassi,naan,samosa"
"galho,raita"
"galho,gulab jamun,salad"
"chicken tikka,galho,lassi"
"dal makhani,galho,roti"
"galho,palak paneer,raita"
"chole,galho,naan"
"dal fry,lassi,raita"
"butter chicken,galho,raita"
"galho,gulab jamun,jeera rice"
"butter naan,lassi,palak paneer"
"chole,dal makhani,roti"
"butter chicken,galho,lassi"
"butter naan,galho,papad"
"chole,galho,naan"
"galho,raita,roti"
"dal fry,gulab jamun,samosa"
"galho,raita,salad"
"biryani,chicken tikka,roti"
"butter naan,galho,naan"
"biryani,dal makhani,jeera rice"
"galho,rice,roti"
"chicken tikka,jeera rice,raita"
"galho,papad"
"paneer butter masala,raita,salad"
"biryani,dal makhani,rice"
"galho,naan"
"galho,papad,rice"
"galho,plain rice,samosa"
"biryani,paneer butter masala,raita"
"butter chicken,galho,plain rice"
"galho,naan,salad"
"dal makhani,galho,naan"
"galho,paneer butter masala,salad"
"galho,palak paneer,rice"
"galho,naan"
"galho,jeera rice,lassi"
"galho,jeera rice,roti"
"galho,naan,samosa"
"galho,naan,samosa"
"galho,papad,salad"
"galho,rice,salad"
"galho,roti"
"chicken tikka,galho,raita"
"galho,naan,raita"
"butter chicken,galho,papad"
"galho,raita"
"galho,papad,salad"
"butter chicken,gulab jamun,salad"
"chole,galho,naan"
"galho,papad,salad"
"galho,rice,salad"
"galho,gulab jamun"
"galho,gulab jamun,jeera rice"
"chicken tikka,galho,lassi"
"butter chicken,galho,naan"
"biryani,galho,naan"
"butter naan,samosa"
"butter chicken,butter naan,dal fry"
"butter chicken,chicken tikka,plain rice"
"galho,gulab jamun,naan"
"galho,raita,salad"
"galho,rice,samosa"
"galho,plain rice,salad"
"butter chicken,naan"
"galho,jeera rice,plain rice"
"dal makhani,gulab jamun,naan"
"galho,naan,papad"
"galho,papad,salad"
"galho,papad,samosa"
"butter naan,galho,salad"
"chole,raita,samosa"
"butter naan,galho,roti"
"jeera rice,lassi,samosa"
"butter naan,galho,samosa"
"biryani,gulab jamun,jeera rice"
"biryani,galho,rice"
"galho,palak paneer,roti"
"butter naan,galho,salad"
"chole,dal makhani,rice"
"dal makhani,plain rice"
"chicken tikka,galho,salad"
"butter naan,galho,lassi"
"galho,papad,samosa"
"butter naan,galho,gulab jamun"
"galho,gulab jamun,salad"
"chole,jeera rice,plain rice"
"galho,lassi"
"galho,gulab jamun,roti"
"galho,paneer butter masala,papad"
"galho,gulab jamun,raita"
"galho,naan,paneer butter masala"
"dal makhani,plain rice,salad"
"galho,jeera rice,lassi"
"chole,galho,lassi"
"biryani,galho,rice"
"butter chicken,lassi"
"galho,jeera rice"
"chole,salad,samosa"
"butter naan,galho,samosa"
"paneer butter masala,plain rice"
"dal fry,galho,jeera rice"
"galho,plain rice,roti"
"chole,naan,roti"
"galho,papad,plain rice"
"galho,jeera rice,rice"
"galho,rice,roti"
"galho,gulab jamun,lassi"
"chicken tikka,galho,roti"
"galho,gulab jamun,naan"
"butter chicken,gulab jamun,raita"
"biryani,galho,salad"
"butter naan,galho,rice"
"dal makhani,galho,naan"
"dal fry,galho,gulab jamun"
"paneer butter masala,papad,raita"
"galho,palak paneer,raita"
"galho,rice,salad"
"butter naan,chole,roti"
"galho,jeera rice,salad"
"galho,gulab jamun,rice"
"butter naan,galho,lassi"
"galho,paneer butter masala,plain rice"
"biryani,dal makhani,gulab jamun"
"butter naan,chole,galho"
"butter naan,galho,roti"
"butter naan,galho,samosa"
"butter chicken,jeera rice,papad"
"butter chicken,gulab jamun,rice"
"biryani,naan,salad"
"chole,dal fry,plain rice"
"butter chicken,roti"
"galho,papad,salad"
"chicken tikka,naan"
"galho,gulab jamun,raita"
"butter naan,dal fry,dal makhani"
"biryani,gulab jamun,plain rice"
"biryani,galho,plain rice"
"chole,jeera rice,papad"
"gulab jamun,palak paneer,papad"
"galho,gulab jamun,roti"
"galho,plain rice,raita"
"biryani,roti,salad"
"dal fry,galho,papad"
"galho,papad,salad"
"galho,jeera rice,lassi"
"dal fry,gulab jamun,paneer butter masala"
"galho,gulab jamun,paneer butter masala"
"galho,jeera rice,naan"
"butter chicken,butter naan,galho"
"biryani,chicken tikka,naan"
"biryani,galho,gulab jamun"
"butter chicken,butter naan,galho"
"galho,lassi"
"dal fry,galho,raita"
"butter naan,chole,galho"
"dal fry,dal makhani,jeera rice"
"dal fry,galho,papad"
"dal makhani,galho,gulab jamun"
"butter naan,galho,plain rice"
"galho,rice,roti"
"chole,roti,salad"
"galho,gulab jamun,jeera rice"
"butter chicken,dal makhani,rice"
"butter chicken,butter naan,galho"
"chole,galho,raita"
"galho,palak paneer,roti"
"galho,raita,salad"
"dal fry,galho,papad"
"galho,palak paneer,rice"
"galho,plain rice,roti"
"galho,papad,salad"
"biryani,galho,rice"
"galho,plain rice,samosa"
"dal fry,naan,roti"
"butter chicken,galho,raita"
"dal fry,galho,jeera rice"
"galho,lassi,naan"
"chicken tikka,jeera rice,naan"
"dal makhani,galho,papad"
"chicken tikka,galho,gulab jamun"
"butter chicken,jeera rice,paneer butter masala"
"biryani,galho,raita"
"galho,gulab jamun,jeera rice"
"galho,gulab jamun,samosa"
"butter chicken,butter naan,salad"
"dal makhani,galho,raita"
"galho,lassi,roti"
"lassi,roti,samosa"
"dal fry,galho,plain rice"
"butter naan,galho,gulab jamun"
"dal fry,galho,raita"
"dal fry,galho,gulab jamun"
"galho,plain rice,salad"
"chole,galho,plain rice"
"dal makhani,galho,roti"
"chicken tikka,galho,papad"
"galho,jeera rice,plain rice"
"galho,plain rice,raita"
"galho,lassi,naan"
"dal fry,naan,papad"
"galho,papad,salad"
"butter chicken,chole,jeera rice"
"galho,naan,papad"
"galho,jeera rice,rice"
"galho,paneer butter masala,plain rice"
"galho,naan,raita"
"dal fry,galho,lassi"
"galho,naan,papad"
"galho,lassi,roti"
"galho,papad,plain rice"
"chole,lassi,palak paneer"
"biryani,galho,papad"
"dal fry,galho,lassi"
"butter naan,galho,roti"
"galho,lassi,samosa"
"galho,palak paneer,papad"
"dal fry,galho,lassi"
"butter naan,galho,naan"
"palak paneer,paneer butter masala,raita"
"chicken tikka,papad,salad"
"galho,plain rice,salad"
"galho,jeera rice,rice"
"galho,roti"
"butter naan,galho,salad"
"dal fry,galho,lassi"
"dal fry,galho,plain rice"
"galho,naan,palak paneer"
"butter naan,galho,raita"
"galho,palak paneer,salad"
"galho,roti"
"butter naan,galho,raita"
"dal makhani,galho,plain rice"
"galho,roti"
"galho,gulab jamun,raita"
"butter chicken,roti"
"jeera rice,lassi,palak paneer"
"galho,palak paneer,raita"
"galho,papad,salad"
"galho,lassi,roti"
"galho,paneer butter masala,rice"
"galho,naan,roti"
"chole,dal fry,plain rice"
"jeera rice,palak paneer,papad"
"galho,jeera rice,papad"
"galho,lassi,salad"
"biryani,butter naan,galho"
"galho,gulab jamun,naan"
"galho,naan,raita"
"chicken tikka,rice,samosa"
"chicken tikka,lassi,naan"
"butter chicken,galho,rice"
"butter naan,galho,papad"
"dal fry,paneer butter masala,roti"
"galho,roti,salad"
"galho,paneer butter masala,plain rice"
"galho,plain rice"
"galho,gulab jamun,jeera rice"
"galho,plain rice,rice"
"butter chicken,raita,samosa"
