transaction_items
"galho,lassi,roti"
"galho,roti,samosa"
"butter naan,galho,raita"
"galho,paneer butter masala,plain rice"
"galho,lassi,samosa"
"galho,jeera rice,raita"
"biryani,galho,roti"
"galho,jalebi,lassi"
"galho,gulab jamun,jeera rice,raita"
"galho,gulab jamun,roti"
"galho,raita,rice"
"chicken tikka,galho,jeera rice,rice"
"galho,jeera rice,roti"
"galho,gulab jamun,lassi,samosa"
"dal makhani,galho,raita"
"galho,gulab jamun,paneer butter masala,rice"
"galho,plain rice,roti"
"dal makhani,galho,plain rice"
"dal makhani,galho,rice"
"biryani,galho,plain rice,raita"
"butter chicken,galho,roti"
"dal makhani,galho,lassi"
"galho,jeera rice,lassi"
"butter naan,galho,rice,samosa"
"chicken tikka,chole,galho,lassi"
"dal makhani,galho,lassi"
"butter chicken,galho,roti"
"butter naan,galho,gulab jamun"
"galho,jeera rice,raita"
"butter naan,galho,rice"
"butter naan,galho,gulab jamun"
"biryani,galho,plain rice"
"biryani,galho,raita"
"butter naan,dal makhani,galho,roti"
"butter naan,galho,jeera rice"
"dal makhani,galho,paneer butter masala,plain rice"
"dal makhani,galho,raita,samosa"
"chole,galho,plain rice"
"chicken tikka,chole,galho,rice"
"galho,plain rice,roti"
"dal makhani,galho,plain rice,raita"
"galho,paneer butter masala,plain rice"
"dal makhani,galho,raita"
"chole,galho,roti"
"galho,paneer butter masala,plain rice,roti"
"galho,gulab jamun,lassi"
"biryani,galho,lassi,raita"
"butter naan,galho,raita"
"galho,paneer butter masala,rice"
"galho,jeera rice,raita"
"butter chicken,butter naan,galho,jeera rice"
"galho,paneer butter masala,rice,roti"
"butter naan,galho,gulab jamun"
"chicken tikka,galho,lassi"
"butter chicken,galho,jeera rice"
"butter naan,galho"
"chicken tikka,galho,raita"
"galho,jeera rice,plain rice"
"galho,jeera rice,plain rice"
"butter chicken,galho,rice"
"galho,jeera rice,plain rice,samosa"
"chole,galho,raita"
"chicken tikka,galho,rice"
"butter naan,galho,gulab jamun"
"butter naan,galho,jeera rice"
"galho,lassi"
"galho,jeera rice"
"galho,raita"
"galho,gulab jamun,raita"
"galho,jeera rice,plain rice"
"butter naan,chicken tikka,galho"
"galho,jalebi,jeera rice"
"butter naan,galho,lassi,plain rice"
"butter naan,galho,lassi"
"galho,lassi,plain rice,raita"
"chicken tikka,galho,jeera rice"
"butter naan,galho,plain rice"
"galho,jalebi,jeera rice"
"butter naan,chole,galho"
"galho,plain rice,roti"
"galho,gulab jamun,lassi,rice"
"butter naan,galho,jeera rice"
"chole,galho,roti"
"butter naan,chole,galho"
"galho,roti,samosa"
"galho,jalebi,rice,roti"
"chicken tikka,galho,plain rice,rice"
"butter naan,galho,rice"
"galho,jeera rice,raita,rice"
"galho,jeera rice,plain rice,roti"
"dal makhani,galho,jeera rice"
"butter naan,galho,plain rice"
"butter naan,galho,paneer butter masala"
"chicken tikka,dal makhani,galho,jeera rice"
"dal makhani,galho,raita"
"galho,plain rice"
"butter naan,chole,galho,raita"
"galho,jeera rice,raita"
"butter naan,galho,paneer butter masala,raita"
"butter chicken,galho,raita"
"galho,jeera rice,paneer butter masala"
"butter naan,galho,plain rice,samosa"
"chicken tikka,galho,lassi"
"chole,galho,rice,samosa"
"butter naan,galho,raita"
"galho,jeera rice,raita"
"galho,jalebi,plain rice"
"chicken tikka,galho,jeera rice"
"galho,jeera rice"
"butter chicken,galho,rice"
"dal makhani,galho,rice"
"galho,gulab jamun,plain rice,raita"
"galho,jalebi,raita"
"galho,lassi,plain rice"
"galho,jeera rice,paneer butter masala"
"galho,roti"
"dal makhani,galho,jeera rice"
"dal makhani,galho,raita"
"galho,lassi"
"butter naan,chole,galho,plain rice"
"galho,jeera rice,rice"
"galho,jeera rice,roti"
"galho,plain rice,raita"
"biryani,galho,paneer butter masala,plain rice"
"dal makhani,galho,lassi"
"galho,jeera rice,lassi"
"galho,jalebi,plain rice"
"butter naan,galho"
"biryani,galho,plain rice,raita"
"galho,paneer butter masala,plain rice"
"galho,lassi,samosa"
"butter naan,galho,paneer butter masala"
"galho,plain rice"
"butter chicken,galho,jeera rice"
"butter naan,galho,raita"
"galho,raita,samosa"
"galho,lassi,raita"
"chole,galho,jalebi,raita"
"galho,paneer butter masala,rice"
"galho,raita,roti"
"chole,galho,plain rice"
"dal makhani,galho,rice"
"galho,jalebi,raita"
"galho,rice,roti"
"galho,plain rice,roti"
"butter naan,galho,jalebi,raita"
"galho,roti,samosa"
"galho,lassi,roti,samosa"
"biryani,butter naan,galho,paneer butter masala"
"butter chicken,butter naan,galho,jeera rice"
"dal makhani,galho,jeera rice"
"galho,jeera rice,samosa"
"dal makhani,galho,plain rice"
"chicken tikka,galho,plain rice"
"galho,lassi,plain rice"
"biryani,galho,raita"
