transaction_items
"gulab jamun,paneer butter masala,salad"
"naan,pork bharta"
"jeera rice,plain rice,pork bharta"
"butter naan,pork bharta,samosa"
"dal fry,papad,salad"
"butter chicken,pork bharta,salad"
"papad,plain rice,pork bharta"
"dal fry,jeera rice,raita"
"butter naan,plain rice,pork bharta"
"paneer butter masala,pork bharta,roti"
"dal fry,pork bharta,salad"
"biryani,naan,pork bharta"
"chicken tikka,dal fry,rice"
"butter naan,pork bharta,raita"
"paneer butter masala,plain rice,pork bharta"
"dal makhani,pork bharta,raita"
"dal makhani,paneer butter masala,rice"
"plain rice,pork bharta,samosa"
"naan,pork bharta,roti"
"paneer butter masala,pork bharta,salad"
"naan,palak paneer,pork bharta"
"gulab jamun,jeera rice,pork bharta"
"butter naan,paneer butter masala,raita"
"dal fry,lassi,pork bharta"
"chole,dal fry,gulab jamun"
"pork bharta,raita,roti"
"chole,plain rice,pork bharta"
"biryani,gulab jamun,naan"
"papad,pork bharta,roti"
"butter chicken,plain rice"
"naan,paneer butter masala,plain rice"
"jeera rice,palak paneer,pork bharta"
"dal fry,pork bharta,raita"
"dal makhani,jeera rice,pork bharta"
"dal makhani,papad,pork bharta"
"papad,pork bharta,raita"
"chole,paneer butter masala,raita"
"plain rice,pork bharta,raita"
"chicken tikka,papad,roti"
"chicken tikka,pork bharta,rice"
"dal fry,naan,pork bharta"
"dal fry,gulab jamun,papad"
"chicken tikka,rice,samosa"
"butter naan,plain rice,pork bharta"
"jeera rice,pork bharta,rice"
"dal makhani,paneer butter masala,rice"
"dal fry,jeera rice,papad"
"gulab jamun,papad,pork bharta"
"plain rice,pork bharta,raita"
"butter naan,paneer butter masala,pork bharta"
"naan,pork bharta,raita"
"butter naan,papad,pork bharta"
"butter naan,pork bharta,roti"
"gulab jamun,lassi,pork bharta"
"butter chicken,gulab jamun,rice"
"pork bharta,salad,samosa"
"pork bharta,rice,samosa"
"lassi,pork bharta"
"naan,pork bharta"
"butter chicken,gulab jamun,raita"
"pork bharta,rice,roti"
"gulab jamun,pork bharta,salad"
"chole,jeera rice,pork bharta"
"chicken tikka,plain rice,pork bharta"
"butter naan,plain rice,pork bharta"
"dal fry,lassi,pork bharta"
"paneer butter masala,pork bharta,salad"
"lassi,pork bharta,rice"
"butter chicken,gulab jamun"
"paneer butter masala,salad,samosa"
"butter naan,naan,pork bharta"
"paneer butter masala,pork bharta,raita"
"naan,palak paneer,pork bharta"
"dal fry,papad,salad"
"chicken tikka,dal fry,salad"
"jeera rice,papad,pork bharta"
"chicken tikka,pork bharta,raita"
"lassi,pork bharta"
"dal makhani,gulab jamun,papad"
"jeera rice,paneer butter masala,pork bharta"
"butter chicken,lassi,salad"
"dal makhani,papad,raita"
"plain rice,pork bharta,roti"
"chicken tikka,paneer butter masala,rice"
"dal fry,naan,raita"
"dal makhani,naan,roti"
"dal fry,pork bharta,salad"
"lassi,pork bharta,samosa"
"dal makhani,pork bharta,raita"
"lassi,pork bharta,roti"
"biryani,palak paneer,raita"
"chole,roti,samosa"
"chole,dal fry,lassi"
"gulab jamun,naan,paneer butter masala"
"pork bharta,raita,roti"
"gulab jamun,pork bharta,roti"
"chicken tikka,pork bharta,rice"
"lassi,pork bharta,raita"
"butter naan,pork bharta,roti"
"dal fry,gulab jamun,raita"
"papad,pork bharta,samosa"
"papad,pork bharta,roti"
"jeera rice,papad,pork bharta"
"gulab jamun,paneer butter masala,roti"
"butter naan,jeera rice,pork bharta"
"lassi,pork bharta,samosa"
"butter chicken,dal fry,papad"
"biryani,pork bharta,raita"
"dal makhani,naan,pork bharta"
"chole,gulab jamun,pork bharta"
"chicken tikka,chole,gulab jamun"
"plain rice,pork bharta,rice"
"butter chicken,chicken tikka,raita"
"dal makhani,naan,palak paneer"
"jeera rice,papad,pork bharta"
"biryani,pork bharta,rice"
"dal fry,pork bharta,roti"
"jeera rice,plain rice,pork bharta"
"butter naan,palak paneer,paneer butter masala"
"jeera rice,plain rice,pork bharta"
"naan,pork bharta,rice"
"chole,gulab jamun,pork bharta"
"butter naan,pork bharta,samosa"
"butter chicken,chicken tikka,plain rice"
"biryani,dal fry,raita"
"chole,jeera rice,pork bharta"
"jeera rice,pork bharta,salad"
"jeera rice,lassi,pork bharta"
"butter naan,gulab jamun,samosa"
"butter chicken,gulab jamun,palak paneer"
"gulab jamun,plain rice,pork bharta"
"chole,jeera rice,pork bharta"
"gulab jamun,naan,pork bharta"
"gulab jamun,paneer butter masala,pork bharta"
"butter chicken,paneer butter masala,roti"
"gulab jamun,paneer butter masala,papad"
"lassi,papad,pork bharta"
"butter naan,pork bharta,raita"
"butter naan,chole,pork bharta"
"dal makhani,lassi,paneer butter masala"
"chicken tikka,plain rice,samosa"
"biryani,chole,lassi"
"jeera rice,papad,pork bharta"
"chole,jeera rice,pork bharta"
"biryani,pork bharta,rice"
"butter naan,pork bharta,roti"
"lassi,pork bharta,roti"
"butter naan,jeera rice,pork bharta"
"naan,pork bharta,roti"
"gulab jamun,pork bharta,roti"
"butter naan,pork bharta"
"gulab jamun,pork bharta"
"jeera rice,plain rice,pork bharta"
"butter naan,naan,pork bharta"
"butter naan,gulab jamun,pork bharta"
"biryani,naan,pork bharta"
"chicken tikka,pork bharta,roti"
"gulab jamun,pork bharta,salad"
"biryani,pork bharta,salad"
"dal makhani,gulab jamun,paneer butter masala"
"butter naan,papad,pork bharta"
"chole,papad,pork bharta"
"pork bharta,rice,roti"
"butter chicken,dal fry,papad"
"dal makhani,lassi,roti"
"dal makhani,papad,salad"
"butter naan,palak paneer,pork bharta"
"chicken tikka,palak paneer,roti"
"naan,pork bharta,roti"
"dal fry,rice,salad"
"butter naan,gulab jamun,pork bharta"
"biryani,naan,pork bharta"
"gulab jamun,paneer butter masala,pork bharta"
"jeera rice,pork bharta,samosa"
"papad,pork bharta,raita"
"pork bharta,raita,salad"
"biryani,naan,pork bharta"
"gulab jamun,pork bharta,roti"
"biryani,jeera rice,pork bharta"
"dal makhani,gulab jamun"
"lassi,pork bharta,raita"
"biryani,plain rice"
"gulab jamun,naan,pork bharta"
"butter chicken,pork bharta,raita"
"jeera rice,pork bharta,roti"
"dal makhani,naan,pork bharta"
"butter naan,gulab jamun,pork bharta"
"butter naan,jeera rice,pork bharta"
"butter naan,papad,pork bharta"
"lassi,pork bharta,raita"
"chole,pork bharta,salad"
"paneer butter masala,rice,samosa"
"butter naan,pork bharta,raita"
"jeera rice,naan,pork bharta"
"paneer butter masala,pork bharta,roti"
"jeera rice,lassi,pork bharta"
"paneer butter masala,pork bharta,salad"
"butter chicken,dal makhani,papad"
"biryani,jeera rice,salad"
"palak paneer,pork bharta,raita"
"lassi,salad,samosa"
"chicken tikka,palak paneer,raita"
"biryani,butter naan,paneer butter masala"
