transaction_items
"raita,roti,singori"
"jeera rice,plain rice,singori"
"jeera rice,lassi,singori"
"raita,rice,singori"
"biryani,butter chicken,lassi,singori"
"chole,jeera rice,singori"
"chole,roti,singori"
"chicken tikka,jeera rice,singori"
"gulab jamun,jeera rice,raita,singori"
"butter naan,gulab jamun,lassi,singori"
"biryani,jeera rice,raita,singori"
"jeera rice,plain rice,singori"
"biryani,butter chicken,plain rice,singori"
"butter naan,samosa,singori"
"lassi,roti,singori"
"chole,lassi,plain rice,singori"
"jeera rice,roti,singori"
"butter naan,paneer butter masala,singori"
"jeera rice,lassi,singori"
"lassi,samosa,singori"
"dal makhani,plain rice,singori"
"jalebi,lassi,singori"
"lassi,raita,singori"
"paneer butter masala,raita,singori"
"gulab jamun,jeera rice,singori"
"biryani,butter chicken,butter naan,singori"
"butter naan,jalebi,plain rice,singori"
"lassi,roti,singori"
"butter naan,chicken tikka,raita,singori"
"butter naan,singori"
"butter chicken,jeera rice,raita,singori"
"butter naan,lassi,singori"
"butter chicken,rice,singori"
"jeera rice,lassi,singori"
"roti,samosa,singori"
"lassi,raita,samosa,singori"
"chicken tikka,roti,singori"
"jeera rice,samosa,singori"
"dal makhani,rice,singori"
"butter naan,paneer butter masala,singori"
"butter naan,gulab jamun,plain rice,singori"
"raita,roti,singori"
"chicken tikka,jeera rice,paneer butter masala,singori"
"gulab jamun,lassi,singori"
"jeera rice,rice,singori"
"gulab jamun,rice,singori"
"jeera rice,lassi,singori"
"lassi,raita,singori"
"butter chicken,rice,samosa,singori"
"butter naan,singori"
"roti,samosa,singori"
"jalebi,plain rice,singori"
"raita,roti,singori"
"butter naan,jeera rice,singori"
"butter naan,lassi,singori"
"butter naan,jalebi,singori"
"paneer butter masala,roti,singori"
"butter chicken,roti,singori"
"butter naan,roti,singori"
"dal makhani,lassi,samosa,singori"
"butter chicken,raita,singori"
"jeera rice,lassi,singori"
"butter naan,chicken tikka,gulab jamun,singori"
"jalebi,roti,singori"
"butter naan,plain rice,singori"
"roti,singori"
"butter chicken,butter naan,singori"
"butter naan,chole,lassi,singori"
"paneer butter masala,roti,singori"
"jeera rice,plain rice,singori"
"jeera rice,raita,singori"
"biryani,raita,singori"
"biryani,jeera rice,singori"
"gulab jamun,plain rice,singori"
"biryani,butter naan,singori"
"jeera rice,raita,singori"
"chicken tikka,rice,singori"
"butter naan,singori"
"jalebi,raita,singori"
"butter naan,raita,singori"
"butter chicken,roti,singori"
"butter naan,raita,singori"
"butter chicken,butter naan,raita,singori"
"jalebi,rice,singori"
"gulab jamun,plain rice,singori"
"biryani,jeera rice,lassi,singori"
"lassi,plain rice,singori"
"lassi,plain rice,raita,singori"
"butter chicken,jeera rice,singori"
"rice,roti,singori"
"jeera rice,rice,samosa,singori"
"butter chicken,butter naan,singori"
"rice,roti,singori"
"jeera rice,samosa,singori"
"raita,singori"
"butter naan,dal makhani,singori"
"jeera rice,plain rice,singori"
"butter naan,chicken tikka,singori"
"biryani,butter naan,paneer butter masala,singori"
"lassi,singori"
"roti,samosa,singori"
"plain rice,raita,singori"
"gulab jamun,raita,singori"
"biryani,butter naan,samosa,singori"
"gulab jamun,jalebi,jeera rice,singori"
"jeera rice,paneer butter masala,singori"
"lassi,plain rice,singori"
"jeera rice,roti,singori"
"butter chicken,lassi,singori"
"dal makhani,raita,singori"
"butter naan,rice,singori"
"raita,singori"
"butter chicken,jeera rice,plain rice,singori"
"dal makhani,plain rice,singori"
"gulab jamun,lassi,singori"
"dal makhani,roti,singori"
"butter naan,raita,singori"
"dal makhani,raita,samosa,singori"
"chole,jeera rice,singori"
"dal makhani,jeera rice,lassi,singori"
"butter chicken,butter naan,singori"
"jalebi,raita,singori"
"chole,plain rice,singori"
"dal makhani,jalebi,roti,singori"
"gulab jamun,roti,singori"
"paneer butter masala,raita,singori"
"gulab jamun,paneer butter masala,plain rice,singori"
"plain rice,samosa,singori"
"butter naan,paneer butter masala,singori"
"jeera rice,roti,singori"
"roti,singori"
"butter chicken,lassi,singori"
"gulab jamun,plain rice,singori"
"gulab jamun,plain rice,singori"
"chole,jeera rice,lassi,singori"
"dal makhani,jeera rice,raita,singori"
"plain rice,raita,singori"
"paneer butter masala,plain rice,singori"
"raita,rice,singori"
"jalebi,rice,singori"
"chicken tikka,plain rice,singori"
"paneer butter masala,rice,singori"
"plain rice,raita,singori"
"biryani,plain rice,singori"
"raita,samosa,singori"
"biryani,raita,roti,singori"
"plain rice,samosa,singori"
"gulab jamun,plain rice,samosa,singori"
"butter naan,samosa,singori"
"lassi,paneer butter masala,singori"
"roti,singori"
"butter naan,jeera rice,singori"
"raita,rice,singori"
"butter chicken,butter naan,singori"
"chole,gulab jamun,jeera rice,singori"
"butter naan,gulab jamun,singori"
"chole,lassi,singori"
"biryani,plain rice,singori"
"jeera rice,raita,singori"
"butter naan,dal makhani,singori"
"butter naan,roti,singori"
"chicken tikka,paneer butter masala,plain rice,singori"
"jeera rice,plain rice,singori"
"paneer butter masala,rice,samosa,singori"
"jeera rice,paneer butter masala,singori"
"chicken tikka,roti,singori"
"gulab jamun,jeera rice,roti,singori"
"butter naan,plain rice,singori"
"lassi,raita,singori"
"butter naan,raita,singori"
"butter naan,lassi,singori"
"jalebi,lassi,singori"
"jeera rice,lassi,plain rice,singori"
"roti,singori"
"dal makhani,lassi,plain rice,singori"
"biryani,butter chicken,roti,singori"
"chicken tikka,jalebi,plain rice,singori"
"butter naan,plain rice,singori"
"chole,lassi,singori"
"jeera rice,singori"
"plain rice,raita,singori"
"butter chicken,butter naan,singori"
"jeera rice,rice,singori"
"chicken tikka,plain rice,singori"
"jeera rice,lassi,roti,singori"
"plain rice,samosa,singori"
"butter naan,roti,singori"
"jalebi,jeera rice,singori"
"butter chicken,plain rice,samosa,singori"
"butter naan,jeera rice,singori"
